report_type,age_rank,age,average_trip_duration_seconds,trip_count
longest,1,85,774.0,2
longest,2,81,730.0,1
longest,3,118,689.0,1
longest,4,75,660.6,68
longest,5,16,651.74,35
longest,6,120,597.79,43
longest,7,89,561.2,5
longest,8,70,551.96,357
longest,9,71,547.87,313
longest,10,17,546.24,184
shortest,1,80,163.5,2
shortest,2,88,282.0,2
shortest,3,77,295.63,56
shortest,4,90,298.5,2
shortest,5,98,315.52,94
shortest,6,82,336.25,4
shortest,7,19,351.79,4836
shortest,8,76,363.0,6
shortest,9,18,381.79,3026
shortest,10,20,421.76,2814
